LR table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,,,,
,SepPV,MODULE,val,OpAtr,And,fun,Type,infix,ConstInt,Id,nonfix,BeginP,EndP,SepV,Bar,TypeConst,PREFCON,BeginC,EndC,OpLogAndAlso,OpLogOr,InsSIf,InsSThen,InsSElse,InsInWh,InsInDo,InsInCase,Of,Fn,Arrow,OpArMult,OpArdiv,Div,Mod,OpArAd,OpArExp,At,OpReI,OpReD,op,OpMinus,OpLogNot,Abs,DoubleP,ConstBool,TypeInt,TypeChar,TypeString,TypeBool,List,Asp,$,S,INICIAL,DEC,CONTDEC,CONTFBIND,CONTID,TVARS,CONTTVARS,TBINDS,CONTTBINDS,FBIND,CONTAPAT,CONTFBINDD,EXP,CONTEXP,MATCH,CONTMATCH,PAT,APAT,INFIXFN,PREFIXFN,INFIXCON,MONOCON,TYPE,TVAR
0,s5,s4,s17,,,s18,s19,s20,,,s21,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,1,3,,,,,,,,,,,2,,,,,,,7,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,
2,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,s5,s4,s17,,,s18,s19,s20,,,s21,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,27,3,,,,,,,,,,,2,,,,,,,7,,,,
4,s5,s4,s17,,,s18,s19,s20,,,s21,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,28,3,,,,,,,,,,,2,,,,,,,7,,,,
5,s5,s4,s17,,,s18,s19,s20,,,s21,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,29,3,,,,,,,,,,,2,,,,,,,7,,,,
6,r26,,,,r26,,,,,,,r26,,r26,r26,r26,r26,r26,,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,,,,,,,,,,,r26,r26,r26,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,r27,,,,r27,,,,,,,r27,,r27,r27,r27,r27,r27,,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,,,,,,,,,,,r27,r27,r27,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,r28,,,,r28,,,,,,,r28,,r28,r28,r28,r28,r28,,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,,,,,,,,,,,r28,r28,r28,r28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,7,,,,
10,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,7,,,,
11,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,7,,,,
12,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,7,,,,
13,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,7,,,,
14,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,7,,,,
15,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,7,,,,
16,,,,,,,,,,s46,,s43,,,,s42,s40,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,37,,38,39,,,41,,,
17,,,,,,,,,,s46,,s50,,,,s42,s40,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,s51,,,,,,,,47,,,,,,,,,,,48,39,,,41,,,49
18,,,,,,,,,,s55,,s54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s51,,,,,,,,52,,,,53,,,,,,,,,,,,,,49
19,,,,,,,,,,s58,,s54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s51,,,,,,,,57,,56,,,,,,,,,,,,,,,,49
20,,,,,,,,,s59,s60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,
23,r64,,,,r64,,,,,,,r64,,r64,r64,r64,r64,r64,,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,,,,,,,,,,,r64,r64,r64,r64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,r65,,,,r65,,,,,,,r65,,r65,r65,r65,r65,r65,,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,,,,,,,,,,,r65,r65,r65,r65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,r66,,,,r66,,,,,,,r66,,r66,r66,r66,r66,r66,,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,,,,,,,,,,,r66,r66,r66,r66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,
30,s65,,,,,,,,,,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,
31,s65,,,,,,,,,,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,
32,r35,,,,r35,,,,,,,r35,,r35,r35,r35,r35,r35,,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,,,,,,,,,,,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,r36,,,,r36,,,,,,,r36,,r36,r36,r36,r36,r36,,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,,,,,,,,,,,r36,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,s69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,r40,,,,r40,,,,,,,r40,,r40,r40,r40,r40,r40,,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,,,,,,,,,,,r40,r40,r40,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,r43,,,,,,,,,r43,,,,,,r43,,,,,,,,,,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,s46,,s43,,,,s42,s40,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,71,39,,,41,,,
41,,,,r47,,,,,,s46,,s43,r47,,,s42,s40,s44,r47,,,,,,,,,,,r47,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,72,39,,,41,,,
42,,,,r46,,,,,,r46,,r46,r46,,,r46,,r46,r46,,,,,,,,,,,r46,,,,,,,,,,,,,,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,s46,,s43,,,,s42,s40,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,73,74,,,41,,,
44,,,,,,,,,,s46,,s43,,,,s42,s40,s44,s75,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,76,39,,,41,,,
45,r67,,,r67,r67,,,,,r67,,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,,,,,,,,,,r67,r67,r67,r67,r67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,r68,,,r68,r68,,,,,r68,,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,,,,,,,,,,r68,r68,r68,r68,r68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,s46,,s43,,,,s42,s40,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,77,39,,,41,,,
48,,,,s78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,r16,,r16,,,,r16,r16,r16,,,,,,,,,,,,,,,,,,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,s46,,s43,,,,s42,s40,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,s51,,,,,,,,,,,,,,,,,,,73,74,,,41,,,79
51,,,,,,,,,,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,s55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,
53,,,,,s83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,,,79
55,,,,,,,,,,s46,,s43,,,,s42,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,85,,,
56,r11,r11,r11,,,r11,r11,r11,,,r11,r11,,,,r11,r11,r11,,r11,r11,r11,,,r11,,r11,,r11,,,,,,,,,,,r11,r11,r11,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,s86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,s87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,s88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,
62,r63,,,,r63,,,,,,,r63,,r63,r63,r63,r63,r63,,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,,,,,,,,,,,r63,r63,r63,r63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,s92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,7,,,,
65,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,7,,,,
66,,,,,,,,,,,,,,,,,,,s95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,7,,,,
68,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,7,,,,
69,,,,,,,,,,s46,,s43,,,,s42,s40,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,98,,38,39,,,41,,,
70,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,7,,,,
71,,,,r44,,,,,,,,,r44,,,,,,r44,,,,,,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,r45,,,,,,,,,r45,,,,,,r45,,,,,,,,,,,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,s100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,r43,,,,,,,,,s101,,,,,,r43,,,,,,,,,,,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,s46,,s43,,,,s42,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,s45,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,85,,,
76,,,,,,,,,,,,,,,,,,,s103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,s104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,s9,,,,s6,s8,s10,,s11,s12,s13,,,s14,,s15,,s16,,,,,,,,,,,s22,s23,s24,s25,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,7,,,,
